"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10"
"1",5,4,5,5,5,5,5,5,5,5
"2",4,4,4,5,4,4,5,4,5,4
"3",4,4,4,4,4,2,4,4,4,5
"4",5,5,5,5,5,4,4,5,5,5
"5",5,5,4,4,4,4,4,4,5,5
"6",4,4,4,5,4,4,4,5,4,5
"7",2,5,5,4,4,4,4,4,4,4
"8",4,2,5,4,4,4,4,5,5,4
"9",5,2,4,5,5,4,4,5,5,5
"10",3,3,5,5,5,5,4,5,5,5
"11",1,4,5,5,5,5,5,5,5,5
"12",3,4,4,4,5,4,2,4,4,4
"13",4,4,4,4,3,3,3,4,4,4
"14",1,1,5,5,5,5,2,5,5,5
"15",5,1,5,5,5,5,5,5,5,5
"16",1,1,5,5,5,5,2,5,5,5
"17",4,4,5,5,5,5,2,5,5,5
"18",4,4,4,4,4,2,3,4,4,4
"19",4,3,5,5,5,5,5,5,5,5
"20",1,2,5,5,5,5,5,5,5,5
"21",2,3,5,5,5,4,4,5,5,5
"22",2,2,5,5,5,5,5,5,5,4
"23",3,3,5,5,5,5,4,5,5,5
"24",5,4,5,5,5,5,4,5,5,5
"25",4,4,5,5,5,5,4,5,5,5
"26",4,4,4,4,4,5,2,5,5,4
"27",5,5,5,5,5,5,2,5,5,5
"28",5,4,5,4,4,4,3,4,4,5
"29",5,5,5,5,5,5,2,5,5,5
"30",4,4,5,4,5,5,5,5,5,5
"31",5,4,5,5,5,5,3,5,5,5
"32",2,2,5,5,4,5,5,5,5,5
"33",1,1,5,5,5,5,2,5,5,5
"34",2,1,5,4,4,4,4,4,5,4
"35",3,3,4,5,4,5,3,5,5,5
"36",2,1,5,4,4,4,4,4,5,4
"37",2,2,5,5,5,5,4,5,5,4
"38",2,2,5,5,5,5,4,5,5,5
"39",1,4,5,5,5,2,5,5,5,5
"40",5,5,5,5,4,5,3,5,5,5
"41",5,5,5,5,5,5,3,5,5,5
"42",5,4,4,4,4,4,3,4,4,5
"43",4,2,5,5,5,3,3,5,5,5
"44",2,2,5,5,5,4,3,5,5,5
"45",2,2,5,5,5,4,4,5,5,5
"46",5,4,5,4,5,3,3,5,5,5
"47",2,2,5,5,4,4,4,5,5,4
"48",1,1,5,5,5,5,5,5,5,5
"49",5,5,5,5,5,3,5,5,5,5
"50",5,2,5,5,5,3,5,5,5,5
"51",4,4,5,4,5,4,3,4,5,4
"52",5,5,5,5,5,5,3,5,5,5
"53",5,5,5,5,5,5,3,5,5,5
"54",5,5,5,5,5,5,4,5,5,5
"55",2,2,4,4,4,3,4,4,5,5
