"","K1","K2","K3","K4","K5","K6","K7","K8","K9","Score"
"1",1,1,1,1,1,1,0,1,1,8
"2",0,1,1,1,1,1,0,1,1,7
"3",1,1,1,1,1,1,0,1,1,8
"4",1,1,1,0,1,1,0,1,1,7
"5",1,1,1,1,1,1,1,1,0,8
"6",1,1,1,1,1,1,1,1,1,9
"7",1,1,1,1,1,1,0,1,0,7
"8",0,0,1,1,1,1,0,1,1,6
"9",0,0,0,0,0,0,0,1,0,1
"10",1,1,1,1,1,1,0,1,1,8
"11",1,1,1,1,0,1,0,1,0,6
"12",1,1,1,1,1,1,0,1,0,7
"13",1,1,0,0,1,0,0,0,0,3
"14",1,1,1,1,1,1,0,1,1,8
"15",1,1,1,1,1,1,0,1,1,8
"16",1,1,1,0,1,1,0,1,1,7
"17",1,1,1,0,0,1,0,1,0,5
"18",1,1,1,1,0,1,0,1,1,7
"19",1,1,1,0,0,1,0,1,1,6
"20",1,1,1,1,1,1,0,1,1,8
"21",1,1,1,1,0,1,1,1,1,8
"22",1,1,1,0,1,1,1,1,1,8
"23",1,1,1,1,1,1,1,1,1,9
"24",1,1,1,1,0,1,1,1,0,7
"25",1,1,1,1,1,1,0,1,1,8
"26",0,0,1,0,0,1,1,1,1,5
"27",1,0,1,0,1,0,0,1,1,5
"28",1,1,0,1,0,1,0,1,0,5
"29",1,0,1,1,0,0,0,1,1,5
"30",1,0,0,0,0,0,0,1,1,3
"31",1,1,1,0,0,1,0,1,1,6
"32",1,1,1,0,0,1,1,1,0,6
"33",1,1,1,0,0,1,0,0,0,4
"34",0,0,1,1,1,1,0,1,0,5
"35",0,0,1,1,0,1,0,0,0,3
"36",0,0,1,1,1,1,0,1,0,5
"37",1,0,1,1,0,1,0,0,0,4
"38",1,0,1,1,0,1,0,0,0,4
"39",1,1,1,0,0,1,0,1,0,5
"40",0,0,1,0,1,0,0,1,0,3
"41",0,0,1,0,1,1,0,1,0,4
"42",1,0,1,0,0,0,1,1,0,4
"43",1,1,1,0,0,0,1,1,0,5
"44",1,1,1,1,1,1,1,1,1,9
"45",1,1,1,1,1,1,1,1,1,9
"46",1,1,1,0,1,1,0,1,1,7
"47",1,1,1,1,1,1,1,1,1,9
"48",1,1,1,1,1,1,0,1,1,8
"49",1,1,1,1,1,1,1,1,1,9
"50",1,1,1,1,1,1,1,1,0,8
"51",1,0,1,1,0,0,0,1,0,4
"52",1,1,1,1,1,1,0,1,0,7
"53",1,1,1,1,1,1,0,1,0,7
"54",1,1,1,1,1,1,1,1,1,9
"55",1,1,1,1,1,1,1,1,1,9
"56",1,1,1,0,1,1,1,1,1,8
"57",1,1,1,1,1,1,0,1,1,8
"58",1,1,1,1,0,1,0,1,0,6
"59",1,1,0,0,0,0,0,0,0,2
"60",0,0,1,0,0,1,0,1,0,3
"61",1,1,1,1,1,1,1,1,0,8
"62",1,0,1,0,1,0,0,1,0,4
"63",1,0,1,0,1,0,0,1,0,4
"64",1,1,1,0,1,1,0,1,0,6
"65",1,1,1,1,0,0,1,1,0,6
"66",1,1,1,1,1,1,1,1,1,9
"67",0,0,1,0,1,1,0,1,0,4
"68",0,1,1,1,1,1,0,1,0,6
"69",1,1,1,1,1,1,0,1,1,8
"70",1,1,1,1,1,1,1,1,0,8
"71",1,0,1,0,0,1,1,1,1,6
"72",1,1,1,0,1,1,1,1,0,7
"73",1,1,1,1,0,1,1,1,1,8
"74",1,1,0,0,0,0,0,0,0,2
"75",1,1,1,1,1,1,1,1,1,9
"76",0,0,0,0,0,0,0,0,0,0
"77",1,1,1,0,1,1,0,0,0,5
"78",0,0,1,0,0,0,0,1,0,2
"79",0,0,1,1,0,0,1,1,0,4
"80",0,0,1,0,0,0,1,1,1,4
"81",1,1,1,0,1,1,1,1,1,8
"82",0,1,1,1,0,1,0,0,1,5
"83",1,1,0,1,1,1,0,1,0,6
"84",1,0,1,0,0,1,0,1,0,4
"85",0,0,1,0,1,1,0,1,1,5
"86",0,0,1,0,1,1,0,1,0,4
"87",1,1,1,1,1,1,0,1,1,8
"88",1,1,1,1,1,1,1,1,0,8
"89",1,1,1,1,0,1,1,1,1,8
"90",1,1,1,1,1,1,0,1,1,8
"91",1,1,1,1,1,1,0,1,1,8
"92",1,1,1,1,0,1,0,1,1,7
"93",1,1,1,1,0,1,0,1,1,7
"94",0,1,1,1,1,1,1,1,1,8
"95",1,1,1,1,1,1,1,1,1,9
"96",0,1,0,1,1,1,1,1,0,6
"97",0,1,0,1,1,1,1,1,0,6
"98",1,1,1,1,0,1,0,1,1,7
"99",1,0,1,1,1,1,0,1,1,7
"100",1,1,1,1,1,1,0,1,1,8
"101",1,0,1,1,0,1,1,1,1,7
"102",1,0,1,1,0,1,0,1,1,6
"103",1,1,1,1,1,1,1,1,1,9
"104",0,0,1,0,0,0,0,1,0,2
"105",1,1,1,0,0,0,1,1,0,5
"106",1,1,1,1,1,0,0,1,0,6
"107",1,1,1,1,1,1,1,1,1,9
