"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","Score"
"1",2,2,3,1,3,3,3,1,3,1,3,3,28
"2",2,2,2,2,3,2,3,2,3,2,1,2,26
"3",1,2,3,2,3,3,3,1,2,3,2,3,28
"4",1,3,3,2,3,3,1,2,3,1,2,3,27
"5",2,3,1,1,3,3,2,1,3,1,1,3,24
"6",2,3,2,2,3,3,2,2,3,2,1,3,28
"7",2,3,3,1,3,3,2,2,3,1,2,3,28
"8",2,2,3,2,3,3,3,3,3,2,2,3,31
"9",1,2,1,1,3,3,3,1,3,2,1,3,24
"10",2,3,3,1,3,3,2,3,3,2,2,3,30
"11",2,3,3,2,3,3,1,1,3,2,2,2,27
"12",3,2,1,1,3,3,2,3,3,1,1,3,26
"13",1,1,1,3,1,3,1,1,1,1,1,2,17
"14",2,3,2,2,1,3,3,2,3,2,2,2,27
"15",2,1,3,1,3,3,3,1,3,3,3,2,28
"16",2,3,2,2,1,3,3,2,3,2,2,2,27
"17",2,3,2,1,3,3,1,1,3,2,2,3,26
"18",2,1,1,1,3,3,3,2,3,1,2,3,25
"19",2,2,1,1,3,3,1,3,3,2,2,3,26
"20",3,3,2,1,3,3,2,2,3,3,2,3,30
"21",2,2,3,1,3,3,3,2,3,2,2,3,29
"22",2,3,1,1,3,3,2,2,3,2,2,3,27
"23",2,3,2,1,3,3,3,3,3,2,2,3,30
"24",2,2,1,2,1,3,1,1,2,3,2,3,23
"25",2,3,1,1,3,3,3,3,3,2,1,2,27
"26",2,2,1,1,3,3,3,2,2,2,1,3,25
"27",2,2,1,1,3,3,3,3,3,1,2,3,27
"28",1,2,2,1,3,3,3,3,3,1,1,2,25
"29",2,2,3,3,1,3,3,3,3,1,2,3,29
"30",2,2,1,1,3,3,2,1,3,2,2,3,25
"31",2,3,3,1,3,3,2,1,3,2,1,3,27
"32",2,3,2,3,1,2,2,1,3,3,2,3,27
"33",2,2,1,1,3,1,1,1,3,2,1,3,21
"34",3,1,3,1,3,3,2,1,3,1,2,3,26
"35",2,2,3,1,1,1,1,1,3,2,2,3,22
"36",3,1,3,1,3,3,2,1,3,1,2,3,26
"37",2,2,2,1,3,1,1,2,3,2,1,3,23
"38",2,2,2,1,3,1,1,2,3,2,1,3,23
"39",1,2,2,2,2,3,2,2,3,2,2,2,25
"40",1,3,2,1,3,3,3,1,3,1,1,3,25
"41",1,3,2,1,3,3,3,1,3,1,1,3,25
